episode: 0/1000, score: 44.1909 e: 1.0
episode: 1/1000, score: 62.1742 e: 0.94
episode: 2/1000, score: 106.4265 e: 0.88
episode: 3/1000, score: 149.4513 e: 0.83
episode: 4/1000, score: 193.765 e: 0.77
episode: 5/1000, score: 191.2486 e: 0.73
episode: 6/1000, score: 174.6156 e: 0.68
episode: 7/1000, score: 130.6702 e: 0.64
episode: 8/1000, score: 87.7068 e: 0.6
episode: 9/1000, score: 43.8841 e: 0.56
episode: 10/1000, score: 2.2709 e: 0.53
episode: 11/1000, score: 0.9207 e: 0.49
episode: 12/1000, score: 0.6138 e: 0.46
episode: 13/1000, score: 0.5524 e: 0.43
episode: 14/1000, score: 0.0614 e: 0.41
episode: 15/1000, score: 0.0 e: 0.38
episode: 16/1000, score: 0.0 e: 0.36
episode: 17/1000, score: 0.0 e: 0.34
episode: 18/1000, score: 0.0 e: 0.32
episode: 19/1000, score: 0.0 e: 0.3
episode: 20/1000, score: 0.0 e: 0.28
episode: 21/1000, score: 0.0 e: 0.26
episode: 22/1000, score: 0.0 e: 0.24
episode: 23/1000, score: 0.0614 e: 0.23
episode: 24/1000, score: 0.0614 e: 0.21
episode: 25/1000, score: 0.0614 e: 0.2
episode: 26/1000, score: 9.2065 e: 0.19
episode: 27/1000, score: 53.5202 e: 0.18
episode: 28/1000, score: 123.4278 e: 0.17
episode: 29/1000, score: 198.1841 e: 0.16
episode: 30/1000, score: 240.2269 e: 0.15
episode: 31/1000, score: 231.0818 e: 0.14
episode: 32/1000, score: 186.7681 e: 0.13
episode: 33/1000, score: 132.4501 e: 0.12
episode: 34/1000, score: 68.1891 e: 0.11
episode: 35/1000, score: 76.1066 e: 0.11
episode: 36/1000, score: 151.6609 e: 0.1
episode: 37/1000, score: 221.1389 e: 0.093
episode: 38/1000, score: 275.3955 e: 0.088
episode: 39/1000, score: 334.3168 e: 0.082
episode: 40/1000, score: 297.0614 e: 0.077
episode: 41/1000, score: 232.8004 e: 0.072
episode: 42/1000, score: 178.1141 e: 0.068
episode: 43/1000, score: 178.0527 e: 0.064
episode: 44/1000, score: 108.6361 e: 0.06
episode: 45/1000, score: 95.9312 e: 0.056
episode: 46/1000, score: 84.6379 e: 0.052
episode: 47/1000, score: 69.8462 e: 0.049
episode: 48/1000, score: 0.0 e: 0.046
episode: 49/1000, score: 0.0 e: 0.043
episode: 50/1000, score: 0.0 e: 0.041
episode: 51/1000, score: 0.0 e: 0.038
episode: 52/1000, score: 0.0 e: 0.036
